run_label,parsed_at,app_duration_s,driver_time_s,stages_submitted,total_tasks,input_read_mb,shuffle_write_mb,shuffle_read_mb,executor_gc_s
baseline_run1,2026-03-14T11:13:37,57.45,14.26,74,109,230.31,0.01,0.01,1.31
baseline_run2,2026-03-14T11:14:18,58.6,14.33,74,109,230.31,0.01,0.01,1.34
baseline_run3,2026-03-14T11:14:29,57.68,14.33,74,109,230.31,0.01,0.01,1.12
opt1_run1,2026-03-14T12:15:39,48.56,14.39,66,618,451.4,0.02,0.02,14.11
opt1_run2,2026-03-14T12:15:56,47.92,14.52,66,618,451.4,0.02,0.02,14.55
opt1_run3,2026-03-14T12:16:08,48.9,14.25,66,618,451.4,0.02,0.02,13.74
op2_1,2026-03-16T12:24:52,50.84,14.49,62,2175,625.03,55.88,55.93,37.5
op2_2,2026-03-16T12:25:10,50.41,14.53,62,2175,625.03,55.88,55.93,38.97
op2_3,2026-03-16T12:25:11,50.8,14.36,62,2175,625.03,55.88,55.93,41.77
op3_1,2026-03-16T12:25:42,40.98,14.56,21,471,81.11,55.76,55.76,14.11
op3_2,2026-03-16T12:25:42,39.59,14.44,21,471,81.11,55.76,55.76,14.5
op3_3,2026-03-16T12:25:43,38.95,14.27,21,471,81.11,55.76,55.76,14.48
op4_1,2026-03-16T12:25:55,33.14,14.37,10,460,76.6,25.4,25.4,9.93
op4_2,2026-03-16T12:25:55,33.55,14.74,10,460,76.6,25.4,25.4,10.39
op4_3,2026-03-16T12:25:56,32.92,14.46,10,460,76.6,25.4,25.4,14.48
final_1,2026-03-16T12:26:22,32.37,14.94,6,266,74.45,25.16,25.16,7.82
final_2,2026-03-16T12:26:22,31.25,14.58,6,266,74.45,25.16,25.16,7.78
final_3,2026-03-16T12:26:23,31.91,14.99,6,266,74.45,25.16,25.16,7.76
